year,month,site,lat,lon,type,W1_ERROR,W2_ERROR,W3_ERROR,W4_ERROR
2006,4,AT-Neu,47.11667,11.3175,GRA,0.50949501,NA,0.159380412,0.088514714
2006,10,AT-Neu,47.11667,11.3175,GRA,0.137699764,NA,0.152335261,0.160608652
2006,11,AT-Neu,47.11667,11.3175,GRA,16.80823869,NA,0.096697707,0.238304143
2007,1,AT-Neu,47.11667,11.3175,GRA,1.34E-14,NA,0.056425565,0
2007,2,AT-Neu,47.11667,11.3175,GRA,11.05337031,NA,0.102608471,0.343659753
2007,3,AT-Neu,47.11667,11.3175,GRA,0,NA,0.140225645,0.363938229
2007,4,AT-Neu,47.11667,11.3175,GRA,1.21E-14,NA,0.266593823,0.383084299
2007,5,AT-Neu,47.11667,11.3175,GRA,1.22E-14,NA,0.250106144,0.494964257
2007,6,AT-Neu,47.11667,11.3175,GRA,0.357856238,NA,0.245489099,0.114327566
2007,7,AT-Neu,47.11667,11.3175,GRA,0,0.149899113,0.289443907,0.479123152
2007,8,AT-Neu,47.11667,11.3175,GRA,0.33843546,NA,0.200230974,0.470740009
2007,9,AT-Neu,47.11667,11.3175,GRA,0.333840564,NA,0.143047095,0.452263161
2007,10,AT-Neu,47.11667,11.3175,GRA,0.429608149,NA,0.105490446,0.441781387
2007,11,AT-Neu,47.11667,11.3175,GRA,4.579412835,NA,0.064295758,0.177048933
2007,12,AT-Neu,47.11667,11.3175,GRA,0,NA,0.031330833,0.013134571
2008,2,AT-Neu,47.11667,11.3175,GRA,42.25049368,NA,0.114916636,0.182955005
2008,5,AT-Neu,47.11667,11.3175,GRA,0.103063964,NA,0.262304054,0.133055574
2008,6,AT-Neu,47.11667,11.3175,GRA,0.331059093,NA,0.215126315,0.263218614
2008,7,AT-Neu,47.11667,11.3175,GRA,0.228051199,NA,0.195821009,0.16699352
2008,8,AT-Neu,47.11667,11.3175,GRA,1.28E-14,NA,0.218999116,0.226334697
2008,9,AT-Neu,47.11667,11.3175,GRA,1.25E-14,NA,0.154557514,0.157176309
2008,10,AT-Neu,47.11667,11.3175,GRA,1.36E-14,NA,0.109895861,0.190913685
2008,11,AT-Neu,47.11667,11.3175,GRA,4.240765272,NA,0.085466279,0.011863629
2009,1,AT-Neu,47.11667,11.3175,GRA,1.891742093,NA,0.02344768,0.045847055
2009,2,AT-Neu,47.11667,11.3175,GRA,2.3483618,NA,0.066038072,0.018722626
2009,3,AT-Neu,47.11667,11.3175,GRA,6.006735151,NA,0.094816587,0.668879559
2009,4,AT-Neu,47.11667,11.3175,GRA,0.35526282,NA,0.23349592,0.544157279
