site,type,lat,lon,N,R2,rMAE,CV_GPP,CV_W,CV_T,CV_TW,Residuals,rT_unique,rW_unique,rTW_shared,rTW_total,MAT,MAP
DE-Obe,ENF,50.78666,13.72129,79,0.85952084,0.299453263,0.764783725,0.178885658,0.510112551,0.572374606,0.0551,0.0456,0.0047,0.401841465,0.452111335,7.184887368,884.4097061
DE-RuR,GRA,50.62191,6.30413,45,0.785066333,0.262924641,0.627033673,0.202229624,0.397894733,0.467025588,0.1681,0.0479,-0.0049,0.349080418,0.39199423,8.482352069,1027.369058
DE-RuS,CRO,50.86591,6.44714,48,0.568936402,0.590252395,1.106359742,0.182004376,0.39007958,0.449672259,0.5239,0.1049,0.0145,0.415038857,0.534341525,10.39979198,836.4838198
DE-Seh,CRO,50.87062,6.44965,46,0.516213375,0.537471724,1.0146855,0.167123077,0.421453106,0.445560848,0.5467,-0.0286,0.1415,0.273108317,0.385837194,10.39979198,836.4838198
DE-Spw,WET,51.89225,14.03369,59,0.716904073,0.32087172,0.867899087,0.291387711,0.458407864,0.618996127,0.306,-0.0053,0.0143,0.345677233,0.354610951,10.26805282,678.9114788
DE-Tha,ENF,50.96256,13.56515,163,0.811166755,0.3138388,0.714431741,0.186112923,0.481174377,0.542479758,0.068,0.0523,-5.00E-04,0.3722103,0.424141631,9.170892617,903.1785213
DK-Eng,GRA,55.69053,12.19175,47,0.585062634,0.616730173,0.705290024,0.244515573,0.446037193,0.555638554,0.3571,-0.0015,0.1122,0.311712552,0.422460725,8.898989468,728.7119334
DK-Sor,DBF,55.48587,11.64464,159,0.909899394,0.214678237,0.946920203,0.281500388,0.44217779,0.621462302,0.1384,0.0484,0.0012,0.391132776,0.440691736,8.875603348,705.7270343
ES-Amo,OSH,36.83361,-2.25232,29,0.148607086,1.528066301,0.552472199,0.158678798,0.16903452,0.286928461,0.3723,-0.0153,-0.0134,0.164887685,0.136211566,18.18494164,243.4476684
ES-LJu,OSH,36.92659,-2.75212,91,0.125828612,2.374815224,1.101032824,0.18661808,0.465458109,0.547257954,0.827,0.059,0.0306,-0.003468208,0.086127168,13.38037671,344.7167123
FI-Hyy,ENF,61.84741,24.29477,137,0.858004951,0.271814551,0.847145963,0.234569323,0.598745059,0.674587251,0.0737,0.1462,0.0033,0.325596459,0.475116053,4.573550892,715.8336846
FI-Jok,CRO,60.8986,23.51345,24,0.88468146,0.615966446,1.080062233,0.197338835,0.537982847,0.632773814,0.3245,0.0048,-0.019,0.468541821,0.454330126,5.057980975,716.5247783
FI-Let,ENF,60.64183,23.95952,38,0.857417014,0.295380736,0.792462584,0.225546335,0.574765743,0.65137353,0.1647,0.0869,0.0029,0.332096253,0.421884353,5.134550032,724.1069133
FI-Sod,ENF,67.36239,26.63859,108,0.863876721,0.294738102,0.796550167,0.187212637,0.560044559,0.59604085,0.1032,0.1016,0.0021,0.429081178,0.532783229,0.647751514,666.3777987
FR-Fon,DBF,48.47636,2.7801,115,0.914406202,0.278180346,0.939956277,0.224843679,0.337223343,0.446917773,0.1688,0.01,0.0148,0.348532243,0.373315688,11.57603225,741.4648983
