"","year","month","site","lat","lon","type","T1","T1_noise","T2","T2_noise","T3","T3_noise","T4","T4_noise","W1","W1_noise","W2","W2_noise","W3","W3_noise","W4","W4_noise"
"11",2010,11,"AR-Vir",-28.2395,-56.1886,"ENF",0.834809683569306,0.824330527512027,0.997013156613111,0.998369295787201,1,1,0.980883425700424,0.977656267975633,0.756622648833281,0.760286739382949,0.873316455696203,0.870404050632911,0.596831849723137,0.59443527601623,0.894585945554651,0.893863753072365
"12",2010,12,"AR-Vir",-28.2395,-56.1886,"ENF",0.958549334361647,0.950203736499004,0.88438115422083,0.899650709715015,1,1,0.911901070390689,0.904079632920773,0.938129992880503,0.938129992880503,0.834784810126582,0.831487088607595,0.566608996539792,0.5641639606894,0.907238320892969,0.906602809929579
"13",2011,1,"AR-Vir",-28.2395,-56.1886,"ENF",1.00715836497164,1.00022165846407,0.723694067603497,0.74606383200208,1,1,0.833686016151558,0.844963935599512,0.896651014244347,0.896651014244347,0.818075949367089,0.821540759493671,0.554434171116031,0.556915596710699,0.94478699218341,0.939401130676563
"14",2011,2,"AR-Vir",-28.2395,-56.1886,"ENF",0.96968559604183,0.961616812795294,0.829895811109728,0.848361645426711,1,1,0.885724214470541,0.876530971568857,0.995250110158453,0.995343729427151,0.859493670886076,0.856443037974683,0.585625859697387,0.583209191623431,1,1
"15",2011,3,"AR-Vir",-28.2395,-56.1886,"ENF",0.89497430897637,0.885239704271555,0.952861171626974,0.962153388473103,1,1,0.947218459108442,0.94147204681279,0.973142120905087,0.973142120905087,0.902987341772152,0.90037164556962,0.622396023682479,0.620054672583462,0.994870478825269,0.994834997639855
"16",2011,4,"AR-Vir",-28.2395,-56.1886,"ENF",0.782519740193941,0.771492003865749,0.998570166748178,0.997507110453726,1,1,0.98899923418594,0.99115896578012,1.2041475053946,1.2041475053946,0.96706329113924,0.969038227848101,0.685836253070758,0.687997692399989,0.994822589619552,0.988785169788277
"17",2011,5,"AR-Vir",-28.2395,-56.1886,"ENF",0.57356072428729,0.563094703274037,0.89804786150647,0.890204415544235,1,1,0.993202996018431,0.991657174001597,1.22453038129775,1.2301101205788,0,0,0.766081871345029,0.767878077373974,0.980776247218637,0.9749217373912
"18",2011,6,"AR-Vir",-28.2395,-56.1886,"ENF",0.399182068833738,0.391340565145252,0.75040870602252,0.743033922967437,1,1,0.944860182657,0.941372792874024,1.68759601232469,1.68759601232469,0,0,0.807185515214712,0.808744892512438,0.986389581707432,0.980461975624501
"19",2011,7,"AR-Vir",-28.2395,-56.1886,"ENF",0.40974205706843,0.40169982006551,0.760244557410093,0.752763728166443,1,1,0.949342630664236,0.945950858860163,1.37035372336283,1.38068385277011,0,0,0.789156626506024,0.790824026562028,0.967308193857572,0.961629063614489
"20",2011,8,"AR-Vir",-28.2395,-56.1886,"ENF",0.511636333359048,0.521389463340441,0.849492238170176,0.857461286114312,1,1,0.981720043521453,0.979393688364784,0.990820449539629,0.990636740449794,0.991670886075949,0.993399746835443,0.713776771868058,0.71582563109718,0.926523339401988,0.921375305274326
"21",2011,9,"AR-Vir",-28.2395,-56.1886,"ENF",0.657803575116496,0.668828526924155,0.95411204707779,0.960290258079587,1,1,0.999897041465179,0.999608066778888,0.942452230835503,0.941357825929084,0.926101265822785,0.92848582278481,0.643880676017997,0.646181854469829,0.887600126124784,0.882958946015535
"22",2011,10,"AR-Vir",-28.2395,-56.1886,"ENF",0.759929442008474,0.748792458312975,0.995642720300062,0.993178440373395,1,1,0.993139864118612,0.991265756430938,0.849834113291891,0.849834113291891,0.916810126582278,0.914332658227848,0.63506861575179,0.632759477830382,0.909955659268632,0.909332817517882
"23",2011,11,"AR-Vir",-28.2395,-56.1886,"ENF",0.898611260179718,0.9080110242291,0.949052863062616,0.938316099945556,1,1,0.945065371943818,0.939181663659587,0.714330647262994,0.718394474680655,0.827493670886076,0.824123037974684,0.561231215396784,0.558779465527277,0.928141791915239,0.927644744663121
"24",2011,12,"AR-Vir",-28.2395,-56.1886,"ENF",0.850983468804773,0.840585019858918,0.985507573745237,0.990066677648552,1,1,0.968615043769588,0.964360453423096,0.787428440913967,0.790757004265549,0.869316455696203,0.866364050632911,0.593545239091036,0.591142512206416,0.928000522893883,0.927502498476028
"25",2012,1,"AR-Vir",-28.2395,-56.1886,"ENF",0.987831554192252,0.980292308953291,0.891533448125447,0.90630237500572,1,1,0.915392010258862,0.922688047142856,0.681458178708802,0.677100906868964,0.790278481012658,0.794021265822785,0.535298925001572,0.537798078453466,0.963064103023245,0.962909263879442
